"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Search.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\lotties\Success.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\models\addressModel.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\models\testimonialModel.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\models\userModel.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\store\index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\store\profileSlice.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\utils\data.tsx", "TypeScript JSX", 492, 0, 0, 0, 0, 0, 23, 515
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\utils\dbConfig.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\utils\firebase.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\utils\functions.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 11, 104
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\utils\metadata.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 15, 133
"c:\Users\naved\OneDrive\Desktop\Projects\helpcenter\src\utils\scripts.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 5, 60
"Total", "-", 3182, 770, 12, 132, 32, 0, 428, 4556
